frame_number,tracked_points_count,speed_kph
298,10,109.86
299,10,118.41
300,10,123.65
301,16,94.94
302,16,101.9
303,16,108.8
304,16,115.81
305,16,124.08
306,16,133.82
307,16,143.84
308,16,155.8
309,16,168.98
310,16,184.43
311,13,96.94
312,13,106.56
313,13,113.53
314,13,125.82
315,13,137.73
316,13,136.08
317,13,161.37
318,13,179.97
319,12,184.03
320,11,187.68
321,6,0.6
322,4,0.22
323,4,0.57
324,5,0.02
325,4,0.01
326,4,0.06
327,4,0.09
328,4,0.22
329,4,0.02
330,5,0.18
331,4,0.14
332,4,0.05
333,4,0.18
334,4,0.01
335,4,0.31
336,4,0.08
337,4,0.33
338,4,0.27
339,4,0.14
340,4,0.03
341,4,0.24
342,4,0.49
343,4,0.3
344,4,0.24
345,5,0.04
346,5,0.02
347,5,0.02
348,5,0.01
349,5,0.11
350,5,0.01
351,5,0.02
352,5,0.2
353,5,0.01
354,5,0.02
355,5,0.02
356,5,0.01
357,5,0.16
358,5,0.37
359,5,0.36
360,5,0.37
361,4,0.35
362,4,0.32
363,4,0.4
364,5,0.07
365,5,0.02
366,5,0.08
367,5,0.41
368,5,0.21
369,5,0.11
370,5,0.22
371,5,0.01
372,5,0.02
373,5,0.14
374,5,0.2
375,5,0.04
376,5,0.08
377,5,0.41
378,4,0.04
379,4,0.19
380,4,0.02
381,4,0.02
382,4,0.64
383,4,0.12
384,4,0.26
385,4,0.37
386,4,0.01
387,4,0.1
388,4,0.02
389,4,0.02
390,4,0.01
391,4,0.51
392,3,0.1
393,3,0.27
394,3,0.19
395,3,0.02
396,3,0.01
397,3,0.02
398,3,0.03
399,3,0.09
400,3,0.01
401,3,0.01
402,3,0.02
403,3,0.32
404,3,0.31
405,3,0.81
406,2,0.04
407,2,0.08
408,2,0.43
409,2,0.47
410,3,0.42
411,3,0.06
412,3,0.01
413,3,0.05
414,3,0.45
415,3,0.03
416,3,0.11
417,3,0.06
418,2,0.02
419,2,0.01
420,2,0.63
421,2,0.01
422,2,0.03
423,2,0.01
424,2,0.06
425,2,0.11
426,2,0.0
427,2,0.02
428,2,0.02
429,2,0.5
430,2,1.04
431,2,0.61
432,2,0.85
433,2,1.64
434,2,32.49
435,3,46.21
436,4,54.61
437,4,74.93
438,10,82.34
439,10,85.8
440,10,88.87
441,14,91.74
442,14,96.67
443,14,104.0
444,14,111.77
445,14,119.56
446,14,122.98
447,14,132.24
448,14,143.66
449,14,156.69
450,14,181.73
451,12,95.27
452,12,99.16
453,12,108.19
454,12,116.74
455,12,129.56
456,12,143.74
457,12,197.02
458,11,166.38
459,10,187.64
460,7,94.43
461,5,1.19
462,5,0.1
463,5,2.01
464,5,0.44
465,6,0.79
466,6,0.16
467,6,0.83
468,5,0.17
469,5,0.94
470,5,0.11
471,5,0.6
472,5,0.19
473,4,0.62
474,5,1.33
475,5,1.3
476,6,1.0
477,6,10.25
478,6,11.6
479,6,12.26
480,4,50.89
481,5,41.94
482,8,63.51
483,6,66.4
484,8,74.9
485,12,80.33
486,12,85.98
487,12,91.69
488,12,98.61
489,12,105.33
490,12,113.23
491,23,119.96
492,23,129.63
493,23,139.1
494,23,150.33
495,23,163.12
496,23,178.58
497,23,196.4
498,23,215.95
499,23,238.62
500,23,265.02
501,6,1.84
502,5,0.17
503,5,0.1
504,5,0.33
505,5,0.67
506,5,0.08
507,5,0.09
508,5,0.05
509,5,0.21
510,5,0.03
511,5,0.55
512,5,0.58
513,5,0.48
514,5,0.64
515,5,0.6
516,5,1.6
517,6,1.26
518,6,0.19
519,6,0.57
520,6,0.8
521,5,2.19
522,5,0.07
523,5,0.75
524,5,1.25
525,4,0.92
526,4,0.72
527,4,1.21
528,3,0.49
529,3,0.18
530,3,0.17
531,4,0.39
532,4,0.59
533,3,0.61
534,4,0.43
535,4,0.28
536,4,0.24
537,3,0.95
538,3,0.66
539,3,0.01
540,3,0.63
541,2,0.19
542,2,0.01
543,3,0.02
544,3,0.02
545,3,0.35
546,2,0.01
547,2,0.2
548,2,0.53
549,2,0.17
550,2,1.59
551,2,0.13
552,2,0.36
553,2,1.84
554,2,1.05
555,3,0.74
556,2,1.11
557,2,0.81
558,2,0.01
559,2,0.08
560,2,0.15
561,2,0.34
562,2,0.05
563,2,0.03
564,2,0.02
565,2,0.52
566,2,0.04
567,2,0.26
568,2,1.46
569,2,0.01
570,2,0.01
571,2,0.06
572,2,0.32
573,2,0.04
574,2,0.14
575,2,0.09
576,2,0.17
577,2,2.77
578,2,66.12
579,5,74.76
580,9,66.59
581,7,87.39
582,11,87.74
583,11,89.18
584,11,94.7
585,11,100.96
586,11,109.24
587,11,116.85
588,11,126.19
589,11,137.51
590,11,148.76
591,22,146.85
592,22,160.08
593,22,176.13
594,22,192.5
595,22,213.32
596,22,236.21
597,22,265.19
598,18,271.73
599,18,293.63
600,12,294.04
601,6,0.04
602,6,0.03
603,6,0.19
604,6,0.04
605,6,0.16
606,6,0.02
607,6,0.67
608,6,0.7
609,4,0.1
610,4,0.58
611,5,0.11
612,5,0.04
613,5,0.53
614,4,0.33
615,4,0.46
616,4,0.06
617,4,0.24
618,4,0.61
619,4,0.14
620,4,0.57
621,4,0.41
622,3,0.81
623,3,0.02
624,4,0.28
625,6,0.57
626,4,0.02
627,6,0.15
628,6,0.11
629,6,0.05
630,6,0.75
631,7,33.53
632,7,33.16
633,8,46.53
634,9,36.37
635,11,47.33
636,11,50.6
637,11,54.26
638,11,55.57
639,11,60.02
640,11,63.05
641,10,62.47
642,10,65.92
643,10,69.8
644,10,75.02
645,10,78.85
646,10,84.43
647,10,90.59
648,10,102.83
649,10,109.47
650,10,117.19
651,5,1.06
652,6,0.19
653,6,0.06
654,6,0.01
655,6,0.02
656,6,0.15
657,6,0.78
658,5,0.22
659,5,0.04
660,5,0.11
661,5,0.04
662,4,0.13
663,5,0.75
664,5,0.01
665,5,0.04
666,5,0.01
667,5,1.8
668,5,0.02
669,5,0.01
670,4,0.45
671,4,0.01
672,4,0.53
673,5,0.98
674,5,0.16
675,6,0.13
676,6,0.11
677,5,0.01
678,5,0.45
679,5,0.8
680,4,0.4
681,4,0.04
682,5,0.13
683,5,0.47
684,5,0.08
685,5,0.03
686,5,0.22
687,5,0.2
688,5,0.26
689,6,0.07
690,6,0.55
691,5,0.09
692,5,0.11
693,4,0.04
694,4,0.31
695,4,0.03
696,4,0.01
697,4,0.03
698,4,0.28
699,5,0.25
700,5,0.16
701,5,8.54
702,5,8.54
703,8,26.45
704,11,53.34
705,11,34.79
706,11,35.54
707,11,38.79
708,11,40.2
709,11,45.85
710,11,53.46
711,11,48.96
712,11,48.93
713,11,56.59
714,11,56.82
715,11,59.3
716,11,63.94
717,11,70.57
718,11,72.15
719,11,77.07
720,11,76.92
721,7,7.55
722,8,13.56
723,6,8.34
724,6,23.08
725,5,20.93
726,5,21.62
727,5,23.29
728,6,39.51
729,6,37.06
730,5,46.44
731,5,35.68
732,6,44.55
733,6,21.37
734,9,38.25
735,6,24.63
736,10,45.51
737,10,45.64
738,10,46.42
739,10,47.14
740,10,47.35
741,6,0.55
742,5,0.62
743,5,0.01
744,5,0.02
745,5,0.4
746,5,0.14
747,5,0.35
748,5,0.04
749,5,0.05
750,5,0.13
751,5,0.08
752,5,0.24
753,5,0.11
754,5,0.07
755,5,0.14
756,5,0.16
757,5,1.1
758,5,0.43
759,5,0.1
760,5,0.08
761,5,0.52
762,5,0.94
763,6,0.67
764,5,0.4
765,5,0.43
766,4,0.06
767,4,0.69
768,3,0.03
769,3,0.31
770,4,0.38
771,4,0.77
772,4,0.07
773,4,0.26
774,4,0.02
775,4,0.01
776,4,0.15
777,4,0.26
778,4,0.17
779,4,0.22
780,4,0.52
781,5,0.1
782,4,0.1
783,4,0.07
784,4,0.39
785,4,0.32
786,5,0.06
787,5,0.01
788,5,0.0
789,5,0.01
790,5,0.01
791,5,0.01
792,5,0.0
793,5,0.66
794,5,0.1
795,5,0.65
796,5,0.23
797,5,0.32
798,5,0.49
799,5,0.34
800,6,0.45
801,6,0.42
802,6,0.03
803,6,0.66
804,5,0.08
805,5,0.4
806,5,0.14
807,5,0.17
808,7,20.95
809,8,28.73
810,7,35.49
811,9,60.87
